"","GENE","CANCER_TYPE","SITE","HALLMARK"
"3769","NOTCH2","BRCA","Breast","escaping programmed cell death"
"3770","NOTCH2","BRCA","Breast","invasion and metastasis"
"3771","NOTCH2","BLCA","Urinary and male genital","proliferative signalling"
"3772","NOTCH2","BLCA","Urinary and male genital","suppression of growth"
"3773","NOTCH2","BLCA","Urinary and male genital","escaping programmed cell death"
"3774","NOTCH2","BLCA","Urinary and male genital","invasion and metastasis"
"3775","NOTCH2","BCC","Skin","proliferative signalling"
"3776","NOTCH2","BCC","Skin","suppression of growth"
"3777","NOTCH2","BCC","Skin","escaping programmed cell death"
"3778","NOTCH2","BCC","Skin","invasion and metastasis"
"3779","NOTCH2","NHL","Haematolymphoid","proliferative signalling"
"3780","NOTCH2","NHL","Haematolymphoid","suppression of growth"
"3781","NOTCH2","NHL","Haematolymphoid","escaping programmed cell death"
"3782","NOTCH2","NHL","Haematolymphoid","invasion and metastasis"
"3783","NOTCH2","PANET","Digestive system","proliferative signalling"
"3784","NOTCH2","PANET","Digestive system","suppression of growth"
"3785","NOTCH2","PANET","Digestive system","escaping programmed cell death"
"3786","NOTCH2","PANET","Digestive system","invasion and metastasis"
"3787","NRAS","AML","Haematolymphoid","escaping programmed cell death"
"3788","NRAS","AML","Haematolymphoid","proliferative signalling"
"3789","NRAS","AML","Haematolymphoid","invasion and metastasis"
"3790","NRAS","OVT","Female genital","escaping programmed cell death"
"3791","NRAS","OVT","Female genital","proliferative signalling"
"3792","NRAS","OVT","Female genital","invasion and metastasis"
"3793","NRAS","NPC","Head and neck","escaping programmed cell death"
"3794","NRAS","NPC","Head and neck","proliferative signalling"
"3795","NRAS","NPC","Head and neck","invasion and metastasis"
"3796","NRAS","PCM","Haematolymphoid","escaping programmed cell death"
"3797","NRAS","PCM","Haematolymphoid","proliferative signalling"
"3798","NRAS","PCM","Haematolymphoid","invasion and metastasis"
"3799","NRAS","COADREAD","Digestive system","escaping programmed cell death"
"3800","NRAS","COADREAD","Digestive system","proliferative signalling"
"3801","NRAS","COADREAD","Digestive system","invasion and metastasis"
"3802","NRAS","MEL","Skin","escaping programmed cell death"
"3803","NRAS","MEL","Skin","proliferative signalling"
"3804","NRAS","MEL","Skin","invasion and metastasis"
"3805","NRAS","WDTC","Endocrine and neuroendocrine","escaping programmed cell death"
"3806","NRAS","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"3807","NRAS","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"3808","NRAS","ALL","Haematolymphoid","escaping programmed cell death"
"3809","NRAS","ALL","Haematolymphoid","proliferative signalling"
"3810","NRAS","ALL","Haematolymphoid","invasion and metastasis"
"3811","NRAS","CHOL","Digestive system","escaping programmed cell death"
"3812","NRAS","CHOL","Digestive system","proliferative signalling"
"3813","NRAS","CHOL","Digestive system","invasion and metastasis"
"3814","NRAS","CLLSLL","Haematolymphoid","escaping programmed cell death"
"3815","NRAS","CLLSLL","Haematolymphoid","proliferative signalling"
"3816","NRAS","CLLSLL","Haematolymphoid","invasion and metastasis"
"3817","NRAS","ANGS","Soft tissue and bone","escaping programmed cell death"
"3818","NRAS","ANGS","Soft tissue and bone","proliferative signalling"
"3819","NRAS","ANGS","Soft tissue and bone","invasion and metastasis"
"3820","NRAS","MGCT","Urinary and male genital","escaping programmed cell death"
"3821","NRAS","MGCT","Urinary and male genital","proliferative signalling"
"3822","NRAS","MGCT","Urinary and male genital","invasion and metastasis"
"3823","NRAS","COAD","Digestive system","escaping programmed cell death"
"3824","NRAS","COAD","Digestive system","proliferative signalling"
"3825","NRAS","COAD","Digestive system","invasion and metastasis"
"3826","NRAS","HCC","Digestive system","escaping programmed cell death"
"3827","NRAS","HCC","Digestive system","proliferative signalling"
"3828","NRAS","HCC","Digestive system","invasion and metastasis"
"3829","NRAS","PRAD","Urinary and male genital","escaping programmed cell death"
"3830","NRAS","PRAD","Urinary and male genital","proliferative signalling"
"3831","NRAS","PRAD","Urinary and male genital","invasion and metastasis"
"3832","NRAS","UCEC","Female genital","escaping programmed cell death"
"3833","NRAS","UCEC","Female genital","proliferative signalling"
"3834","NRAS","UCEC","Female genital","invasion and metastasis"
"3835","NRAS","LUSC","Thoracic","escaping programmed cell death"
"3836","NRAS","LUSC","Thoracic","proliferative signalling"
"3837","NRAS","LUSC","Thoracic","invasion and metastasis"
"3838","NRAS","THYM","Thoracic","escaping programmed cell death"
"3839","NRAS","THYM","Thoracic","proliferative signalling"
"3840","NRAS","THYM","Thoracic","invasion and metastasis"
"3841","NTRK1","LUAD","Thoracic","angiogenesis"
"3842","NTRK1","LUAD","Thoracic","escaping programmed cell death"
"3843","NTRK1","LUAD","Thoracic","invasion and metastasis"
"3844","NTRK1","LUAD","Thoracic","suppression of growth"
"3845","NTRK1","LUAD","Thoracic","proliferative signalling"
"3846","NTRK1","LUAD","Thoracic","escaping immune response to cancer"
"3847","NTRK1","LUAD","Thoracic","genome instability and mutations"
"3848","NTRK1","BRCA","Breast","angiogenesis"
"3849","NTRK1","BRCA","Breast","escaping programmed cell death"
"3850","NTRK1","BRCA","Breast","invasion and metastasis"
"3851","NTRK1","BRCA","Breast","suppression of growth"
"3852","NTRK1","BRCA","Breast","proliferative signalling"
"3853","NTRK1","BRCA","Breast","escaping immune response to cancer"
"3854","NTRK1","BRCA","Breast","genome instability and mutations"
"3855","NTRK3","ESCA","Digestive system","escaping programmed cell death"
"3856","NTRK3","ESCA","Digestive system","invasion and metastasis"
"3857","NTRK3","ESCA","Digestive system","proliferative signalling"
"3858","PAX5","PRAD","Urinary and male genital","proliferative signalling"
"3859","PAX5","PRAD","Urinary and male genital","escaping programmed cell death"
"3860","PAX5","PRAD","Urinary and male genital","invasion and metastasis"
"3861","PAX5","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"3862","PAX5","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"3863","PAX5","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"3864","PBRM1","PLMESO","Soft tissue and bone","suppression of growth"
"3865","PBRM1","PLMESO","Soft tissue and bone","invasion and metastasis"
"3866","PBRM1","PLMESO","Soft tissue and bone","tumour promoting inflammation"
"3867","PBRM1","PLMESO","Soft tissue and bone","escaping programmed cell death"
"3868","PBRM1","PLMESO","Soft tissue and bone","change of cellular energetics"
"3869","PBRM1","RCC","Urinary and male genital","suppression of growth"
"3870","PBRM1","RCC","Urinary and male genital","invasion and metastasis"
"3871","PBRM1","RCC","Urinary and male genital","tumour promoting inflammation"
"3872","PBRM1","RCC","Urinary and male genital","escaping programmed cell death"
"3873","PBRM1","RCC","Urinary and male genital","change of cellular energetics"
"3874","PBRM1","MEL","Skin","suppression of growth"
"3875","PBRM1","MEL","Skin","invasion and metastasis"
"3876","PBRM1","MEL","Skin","tumour promoting inflammation"
"3877","PBRM1","MEL","Skin","escaping programmed cell death"
"3878","PBRM1","MEL","Skin","change of cellular energetics"
"3879","PBRM1","PRCC","Urinary and male genital","suppression of growth"
"3880","PBRM1","PRCC","Urinary and male genital","invasion and metastasis"
"3881","PBRM1","PRCC","Urinary and male genital","tumour promoting inflammation"
"3882","PBRM1","PRCC","Urinary and male genital","escaping programmed cell death"
"3883","PBRM1","PRCC","Urinary and male genital","change of cellular energetics"
"3884","PBRM1","PANET","Digestive system","suppression of growth"
"3885","PBRM1","PANET","Digestive system","invasion and metastasis"
"3886","PBRM1","PANET","Digestive system","tumour promoting inflammation"
"3887","PBRM1","PANET","Digestive system","escaping programmed cell death"
"3888","PBRM1","PANET","Digestive system","change of cellular energetics"
"3889","PBRM1","CHOL","Digestive system","suppression of growth"
"3890","PBRM1","CHOL","Digestive system","invasion and metastasis"
"3891","PBRM1","CHOL","Digestive system","tumour promoting inflammation"
"3892","PBRM1","CHOL","Digestive system","escaping programmed cell death"
"3893","PBRM1","CHOL","Digestive system","change of cellular energetics"
"3894","PBRM1","ESCA","Digestive system","suppression of growth"
"3895","PBRM1","ESCA","Digestive system","invasion and metastasis"
"3896","PBRM1","ESCA","Digestive system","tumour promoting inflammation"
"3897","PBRM1","ESCA","Digestive system","escaping programmed cell death"
"3898","PBRM1","ESCA","Digestive system","change of cellular energetics"
"3899","PBRM1","BLCA","Urinary and male genital","suppression of growth"
"3900","PBRM1","BLCA","Urinary and male genital","invasion and metastasis"
"3901","PBRM1","BLCA","Urinary and male genital","tumour promoting inflammation"
"3902","PBRM1","BLCA","Urinary and male genital","escaping programmed cell death"
"3903","PBRM1","BLCA","Urinary and male genital","change of cellular energetics"
"3904","PBRM1","STAD","Digestive system","suppression of growth"
"3905","PBRM1","STAD","Digestive system","invasion and metastasis"
"3906","PBRM1","STAD","Digestive system","tumour promoting inflammation"
"3907","PBRM1","STAD","Digestive system","escaping programmed cell death"
"3908","PBRM1","STAD","Digestive system","change of cellular energetics"
"3909","PBRM1","CESC","Female genital","suppression of growth"
"3910","PBRM1","CESC","Female genital","invasion and metastasis"
"3911","PBRM1","CESC","Female genital","tumour promoting inflammation"
"3912","PBRM1","CESC","Female genital","escaping programmed cell death"
"3913","PBRM1","CESC","Female genital","change of cellular energetics"
"3914","PBRM1","UCEC","Female genital","suppression of growth"
"3915","PBRM1","UCEC","Female genital","invasion and metastasis"
"3916","PBRM1","UCEC","Female genital","tumour promoting inflammation"
"3917","PBRM1","UCEC","Female genital","escaping programmed cell death"
"3918","PBRM1","UCEC","Female genital","change of cellular energetics"
"3919","PBRM1","LUAD","Thoracic","suppression of growth"
"3920","PBRM1","LUAD","Thoracic","invasion and metastasis"
"3921","PBRM1","LUAD","Thoracic","tumour promoting inflammation"
"3922","PBRM1","LUAD","Thoracic","escaping programmed cell death"
"3923","PBRM1","LUAD","Thoracic","change of cellular energetics"
"3924","PBRM1","CCRCC","Urinary and male genital","suppression of growth"
"3925","PBRM1","CCRCC","Urinary and male genital","invasion and metastasis"
"3926","PBRM1","CCRCC","Urinary and male genital","tumour promoting inflammation"
"3927","PBRM1","CCRCC","Urinary and male genital","escaping programmed cell death"
"3928","PBRM1","CCRCC","Urinary and male genital","change of cellular energetics"
"3929","PDCD1LG2","MEL","Skin","suppression of growth"
"3930","PDGFRA","LUSC","Thoracic","proliferative signalling"
"3931","PDGFRA","LUSC","Thoracic","angiogenesis"
"3932","PDGFRA","LUSC","Thoracic","invasion and metastasis"
"3933","PDGFRA","LUSC","Thoracic","escaping programmed cell death"
"3934","PDGFRA","LUSC","Thoracic","suppression of growth"
"3935","PDGFRA","HGGNOS","Central nervous system","proliferative signalling"
"3936","PDGFRA","HGGNOS","Central nervous system","angiogenesis"
"3937","PDGFRA","HGGNOS","Central nervous system","invasion and metastasis"
"3938","PDGFRA","HGGNOS","Central nervous system","escaping programmed cell death"
"3939","PDGFRA","HGGNOS","Central nervous system","suppression of growth"
"3940","PDGFRA","GBM","Central nervous system","proliferative signalling"
"3941","PDGFRA","GBM","Central nervous system","angiogenesis"
"3942","PDGFRA","GBM","Central nervous system","invasion and metastasis"
"3943","PDGFRA","GBM","Central nervous system","escaping programmed cell death"
"3944","PDGFRA","GBM","Central nervous system","suppression of growth"
"3945","PDGFRA","CSCC","Skin","proliferative signalling"
"3946","PDGFRA","CSCC","Skin","angiogenesis"
"3947","PDGFRA","CSCC","Skin","invasion and metastasis"
"3948","PDGFRA","CSCC","Skin","escaping programmed cell death"
"3949","PDGFRA","CSCC","Skin","suppression of growth"
"3950","PER1","SBC","Digestive system","escaping programmed cell death"
"3951","PER1","SBC","Digestive system","suppression of growth"
"3952","PER1","ANSC","Digestive system","escaping programmed cell death"
"3953","PER1","ANSC","Digestive system","suppression of growth"
"3954","PHF6","AML","Haematolymphoid","invasion and metastasis"
"3955","PHF6","AML","Haematolymphoid","genome instability and mutations"
"3956","PHF6","AML","Haematolymphoid","proliferative signalling"
"3957","PHF6","AML","Haematolymphoid","escaping programmed cell death"
"3958","PHF6","AML","Haematolymphoid","change of cellular energetics"
"3959","PHF6","BL","Haematolymphoid","invasion and metastasis"
"3960","PHF6","BL","Haematolymphoid","genome instability and mutations"
"3961","PHF6","BL","Haematolymphoid","proliferative signalling"
"3962","PHF6","BL","Haematolymphoid","escaping programmed cell death"
"3963","PHF6","BL","Haematolymphoid","change of cellular energetics"
"3964","PHF6","LUAD","Thoracic","invasion and metastasis"
"3965","PHF6","LUAD","Thoracic","genome instability and mutations"
"3966","PHF6","LUAD","Thoracic","proliferative signalling"
"3967","PHF6","LUAD","Thoracic","escaping programmed cell death"
"3968","PHF6","LUAD","Thoracic","change of cellular energetics"
"3969","PHF6","ALL","Haematolymphoid","invasion and metastasis"
"3970","PHF6","ALL","Haematolymphoid","genome instability and mutations"
"3971","PHF6","ALL","Haematolymphoid","proliferative signalling"
"3972","PHF6","ALL","Haematolymphoid","escaping programmed cell death"
"3973","PHF6","ALL","Haematolymphoid","change of cellular energetics"
"3974","PICALM","WDTC","Endocrine and neuroendocrine","change of cellular energetics"
"3975","PIK3CA","PRAD","Urinary and male genital","proliferative signalling"
"3976","PIK3CA","PRAD","Urinary and male genital","escaping programmed cell death"
"3977","PIK3CA","PRAD","Urinary and male genital","invasion and metastasis"
"3978","PIK3CA","PRAD","Urinary and male genital","angiogenesis"
"3979","PIK3CA","BRCA","Breast","proliferative signalling"
"3980","PIK3CA","BRCA","Breast","escaping programmed cell death"
"3981","PIK3CA","BRCA","Breast","invasion and metastasis"
"3982","PIK3CA","BRCA","Breast","angiogenesis"
"3983","PIK3CA","UCEC","Female genital","proliferative signalling"
"3984","PIK3CA","UCEC","Female genital","escaping programmed cell death"
"3985","PIK3CA","UCEC","Female genital","invasion and metastasis"
"3986","PIK3CA","UCEC","Female genital","angiogenesis"
"3987","PIK3CA","ACYC","Head and neck","proliferative signalling"
"3988","PIK3CA","ACYC","Head and neck","escaping programmed cell death"
"3989","PIK3CA","ACYC","Head and neck","invasion and metastasis"
"3990","PIK3CA","ACYC","Head and neck","angiogenesis"
"3991","PIK3CA","ANGS","Soft tissue and bone","proliferative signalling"
"3992","PIK3CA","ANGS","Soft tissue and bone","escaping programmed cell death"
"3993","PIK3CA","ANGS","Soft tissue and bone","invasion and metastasis"
"3994","PIK3CA","ANGS","Soft tissue and bone","angiogenesis"
"3995","PIK3CA","ANSC","Digestive system","proliferative signalling"
"3996","PIK3CA","ANSC","Digestive system","escaping programmed cell death"
"3997","PIK3CA","ANSC","Digestive system","invasion and metastasis"
"3998","PIK3CA","ANSC","Digestive system","angiogenesis"
"3999","PIK3CA","HNSC","Head and neck","proliferative signalling"
"4000","PIK3CA","HNSC","Head and neck","escaping programmed cell death"
"4001","PIK3CA","HNSC","Head and neck","invasion and metastasis"
"4002","PIK3CA","HNSC","Head and neck","angiogenesis"
"4003","PIK3CA","ESCA","Digestive system","proliferative signalling"
"4004","PIK3CA","ESCA","Digestive system","escaping programmed cell death"
"4005","PIK3CA","ESCA","Digestive system","invasion and metastasis"
"4006","PIK3CA","ESCA","Digestive system","angiogenesis"
"4007","PIK3CA","CESC","Female genital","proliferative signalling"
"4008","PIK3CA","CESC","Female genital","escaping programmed cell death"
"4009","PIK3CA","CESC","Female genital","invasion and metastasis"
"4010","PIK3CA","CESC","Female genital","angiogenesis"
"4011","PIK3CA","COADREAD","Digestive system","proliferative signalling"
"4012","PIK3CA","COADREAD","Digestive system","escaping programmed cell death"
"4013","PIK3CA","COADREAD","Digestive system","invasion and metastasis"
"4014","PIK3CA","COADREAD","Digestive system","angiogenesis"
"4015","PIK3CA","STAD","Digestive system","proliferative signalling"
"4016","PIK3CA","STAD","Digestive system","escaping programmed cell death"
"4017","PIK3CA","STAD","Digestive system","invasion and metastasis"
"4018","PIK3CA","STAD","Digestive system","angiogenesis"
"4019","PIK3CA","HCC","Digestive system","proliferative signalling"
"4020","PIK3CA","HCC","Digestive system","escaping programmed cell death"
"4021","PIK3CA","HCC","Digestive system","invasion and metastasis"
"4022","PIK3CA","HCC","Digestive system","angiogenesis"
"4023","PIK3CA","EPM","Central nervous system","proliferative signalling"
"4024","PIK3CA","EPM","Central nervous system","escaping programmed cell death"
"4025","PIK3CA","EPM","Central nervous system","invasion and metastasis"
"4026","PIK3CA","EPM","Central nervous system","angiogenesis"
"4027","PIK3CA","SOFT_TISSUE","Soft tissue and bone","proliferative signalling"
"4028","PIK3CA","SOFT_TISSUE","Soft tissue and bone","escaping programmed cell death"
"4029","PIK3CA","SOFT_TISSUE","Soft tissue and bone","invasion and metastasis"
"4030","PIK3CA","SOFT_TISSUE","Soft tissue and bone","angiogenesis"
"4031","PIK3CA","SBC","Digestive system","proliferative signalling"
"4032","PIK3CA","SBC","Digestive system","escaping programmed cell death"
"4033","PIK3CA","SBC","Digestive system","invasion and metastasis"
"4034","PIK3CA","SBC","Digestive system","angiogenesis"
"4035","PIK3CA","SCLC","Thoracic","proliferative signalling"
"4036","PIK3CA","SCLC","Thoracic","escaping programmed cell death"
"4037","PIK3CA","SCLC","Thoracic","invasion and metastasis"
"4038","PIK3CA","SCLC","Thoracic","angiogenesis"
"4039","PIK3CA","MBL","Central nervous system","proliferative signalling"
"4040","PIK3CA","MBL","Central nervous system","escaping programmed cell death"
"4041","PIK3CA","MBL","Central nervous system","invasion and metastasis"
"4042","PIK3CA","MBL","Central nervous system","angiogenesis"
"4043","PIK3CA","CCRCC","Urinary and male genital","proliferative signalling"
"4044","PIK3CA","CCRCC","Urinary and male genital","escaping programmed cell death"
"4045","PIK3CA","CCRCC","Urinary and male genital","invasion and metastasis"
"4046","PIK3CA","CCRCC","Urinary and male genital","angiogenesis"
"4047","PIK3CA","VULVA","Female genital","proliferative signalling"
"4048","PIK3CA","VULVA","Female genital","escaping programmed cell death"
"4049","PIK3CA","VULVA","Female genital","invasion and metastasis"
"4050","PIK3CA","VULVA","Female genital","angiogenesis"
"4051","PIK3CA","BLCA","Urinary and male genital","proliferative signalling"
"4052","PIK3CA","BLCA","Urinary and male genital","escaping programmed cell death"
"4053","PIK3CA","BLCA","Urinary and male genital","invasion and metastasis"
"4054","PIK3CA","BLCA","Urinary and male genital","angiogenesis"
"4055","PIK3CA","LUAD","Thoracic","proliferative signalling"
"4056","PIK3CA","LUAD","Thoracic","escaping programmed cell death"
"4057","PIK3CA","LUAD","Thoracic","invasion and metastasis"
"4058","PIK3CA","LUAD","Thoracic","angiogenesis"
"4059","PIK3CA","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"4060","PIK3CA","WDTC","Endocrine and neuroendocrine","escaping programmed cell death"
"4061","PIK3CA","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"4062","PIK3CA","WDTC","Endocrine and neuroendocrine","angiogenesis"
"4063","PIK3CA","HGGNOS","Central nervous system","proliferative signalling"
"4064","PIK3CA","HGGNOS","Central nervous system","escaping programmed cell death"
"4065","PIK3CA","HGGNOS","Central nervous system","invasion and metastasis"
"4066","PIK3CA","HGGNOS","Central nervous system","angiogenesis"
"4067","PIK3CA","RCC","Urinary and male genital","proliferative signalling"
"4068","PIK3CA","RCC","Urinary and male genital","escaping programmed cell death"
"4069","PIK3CA","RCC","Urinary and male genital","invasion and metastasis"
"4070","PIK3CA","RCC","Urinary and male genital","angiogenesis"
"4071","PIK3CA","GBM","Central nervous system","proliferative signalling"
"4072","PIK3CA","GBM","Central nervous system","escaping programmed cell death"
"4073","PIK3CA","GBM","Central nervous system","invasion and metastasis"
"4074","PIK3CA","GBM","Central nervous system","angiogenesis"
"4075","PIK3CA","LUSC","Thoracic","proliferative signalling"
"4076","PIK3CA","LUSC","Thoracic","escaping programmed cell death"
"4077","PIK3CA","LUSC","Thoracic","invasion and metastasis"
"4078","PIK3CA","LUSC","Thoracic","angiogenesis"
"4079","PIK3CA","OVT","Female genital","proliferative signalling"
"4080","PIK3CA","OVT","Female genital","escaping programmed cell death"
"4081","PIK3CA","OVT","Female genital","invasion and metastasis"
"4082","PIK3CA","OVT","Female genital","angiogenesis"
"4083","PIK3CA","PLMESO","Soft tissue and bone","proliferative signalling"
"4084","PIK3CA","PLMESO","Soft tissue and bone","escaping programmed cell death"
"4085","PIK3CA","PLMESO","Soft tissue and bone","invasion and metastasis"
"4086","PIK3CA","PLMESO","Soft tissue and bone","angiogenesis"
"4087","PIK3CA","PANCREAS","Digestive system","proliferative signalling"
"4088","PIK3CA","PANCREAS","Digestive system","escaping programmed cell death"
"4089","PIK3CA","PANCREAS","Digestive system","invasion and metastasis"
"4090","PIK3CA","PANCREAS","Digestive system","angiogenesis"
"4091","PIK3CA","PRCC","Urinary and male genital","proliferative signalling"
"4092","PIK3CA","PRCC","Urinary and male genital","escaping programmed cell death"
"4093","PIK3CA","PRCC","Urinary and male genital","invasion and metastasis"
"4094","PIK3CA","PRCC","Urinary and male genital","angiogenesis"
"4095","PIK3CA","OS","Soft tissue and bone","proliferative signalling"
"4096","PIK3CA","OS","Soft tissue and bone","escaping programmed cell death"
"4097","PIK3CA","OS","Soft tissue and bone","invasion and metastasis"
"4098","PIK3CA","OS","Soft tissue and bone","angiogenesis"
"4099","PIK3CA","UCS","Female genital","proliferative signalling"
"4100","PIK3CA","UCS","Female genital","escaping programmed cell death"
"4101","PIK3CA","UCS","Female genital","invasion and metastasis"
"4102","PIK3CA","UCS","Female genital","angiogenesis"
"4103","PIK3CA","COAD","Digestive system","proliferative signalling"
"4104","PIK3CA","COAD","Digestive system","escaping programmed cell death"
"4105","PIK3CA","COAD","Digestive system","invasion and metastasis"
"4106","PIK3CA","COAD","Digestive system","angiogenesis"
"4107","PIK3CA","PAAD","Digestive system","proliferative signalling"
"4108","PIK3CA","PAAD","Digestive system","escaping programmed cell death"
"4109","PIK3CA","PAAD","Digestive system","invasion and metastasis"
"4110","PIK3CA","PAAD","Digestive system","angiogenesis"
"4111","PIK3CA","MEL","Skin","proliferative signalling"
"4112","PIK3CA","MEL","Skin","escaping programmed cell death"
"4113","PIK3CA","MEL","Skin","invasion and metastasis"
"4114","PIK3CA","MEL","Skin","angiogenesis"
"4115","PIK3CA","NSCLC","Thoracic","proliferative signalling"
"4116","PIK3CA","NSCLC","Thoracic","escaping programmed cell death"
"4117","PIK3CA","NSCLC","Thoracic","invasion and metastasis"
"4118","PIK3CA","NSCLC","Thoracic","angiogenesis"
"4119","PIK3CA","CHOL","Digestive system","proliferative signalling"
"4120","PIK3CA","CHOL","Digestive system","escaping programmed cell death"
"4121","PIK3CA","CHOL","Digestive system","invasion and metastasis"
"4122","PIK3CA","CHOL","Digestive system","angiogenesis"
"4123","PIK3CA","BCC","Skin","proliferative signalling"
"4124","PIK3CA","BCC","Skin","escaping programmed cell death"
"4125","PIK3CA","BCC","Skin","invasion and metastasis"
"4126","PIK3CA","BCC","Skin","angiogenesis"
"4127","PIK3CA","NPC","Head and neck","proliferative signalling"
"4128","PIK3CA","NPC","Head and neck","escaping programmed cell death"
"4129","PIK3CA","NPC","Head and neck","invasion and metastasis"
"4130","PIK3CA","NPC","Head and neck","angiogenesis"
"4131","PIK3CA","LMS","Soft tissue and bone","proliferative signalling"
"4132","PIK3CA","LMS","Soft tissue and bone","escaping programmed cell death"
"4133","PIK3CA","LMS","Soft tissue and bone","invasion and metastasis"
"4134","PIK3CA","LMS","Soft tissue and bone","angiogenesis"
"4135","PIK3CA","MGCT","Urinary and male genital","proliferative signalling"
"4136","PIK3CA","MGCT","Urinary and male genital","escaping programmed cell death"
"4137","PIK3CA","MGCT","Urinary and male genital","invasion and metastasis"
"4138","PIK3CA","MGCT","Urinary and male genital","angiogenesis"
"4139","PIK3CB","PRAD","Urinary and male genital","escaping programmed cell death"
"4140","PIK3CB","PRAD","Urinary and male genital","genome instability and mutations"
"4141","PIK3CB","GBM","Central nervous system","escaping programmed cell death"
"4142","PIK3CB","GBM","Central nervous system","genome instability and mutations"
"4143","PIK3CB","BLCA","Urinary and male genital","escaping programmed cell death"
"4144","PIK3CB","BLCA","Urinary and male genital","genome instability and mutations"
"4145","PIK3R1","GBM","Central nervous system","cell replicative immortality"
"4146","PIK3R1","GBM","Central nervous system","invasion and metastasis"
"4147","PIK3R1","GBM","Central nervous system","suppression of growth"
"4148","PIK3R1","HNSC","Head and neck","cell replicative immortality"
"4149","PIK3R1","HNSC","Head and neck","invasion and metastasis"
"4150","PIK3R1","HNSC","Head and neck","suppression of growth"
"4151","PIK3R1","COADREAD","Digestive system","cell replicative immortality"
"4152","PIK3R1","COADREAD","Digestive system","invasion and metastasis"
"4153","PIK3R1","COADREAD","Digestive system","suppression of growth"
"4154","PIK3R1","BRCA","Breast","cell replicative immortality"
"4155","PIK3R1","BRCA","Breast","invasion and metastasis"
"4156","PIK3R1","BRCA","Breast","suppression of growth"
"4157","PIK3R1","LUSC","Thoracic","cell replicative immortality"
"4158","PIK3R1","LUSC","Thoracic","invasion and metastasis"
"4159","PIK3R1","LUSC","Thoracic","suppression of growth"
"4160","PIK3R1","UCEC","Female genital","cell replicative immortality"
"4161","PIK3R1","UCEC","Female genital","invasion and metastasis"
"4162","PIK3R1","UCEC","Female genital","suppression of growth"
"4163","PIK3R1","CHOL","Digestive system","cell replicative immortality"
"4164","PIK3R1","CHOL","Digestive system","invasion and metastasis"
"4165","PIK3R1","CHOL","Digestive system","suppression of growth"
"4166","PIK3R1","BCC","Skin","cell replicative immortality"
"4167","PIK3R1","BCC","Skin","invasion and metastasis"
"4168","PIK3R1","BCC","Skin","suppression of growth"
"4169","PIK3R1","ESCA","Digestive system","cell replicative immortality"
"4170","PIK3R1","ESCA","Digestive system","invasion and metastasis"
"4171","PIK3R1","ESCA","Digestive system","suppression of growth"
"4172","PIK3R1","ACYC","Head and neck","cell replicative immortality"
"4173","PIK3R1","ACYC","Head and neck","invasion and metastasis"
"4174","PIK3R1","ACYC","Head and neck","suppression of growth"
"4175","PIK3R1","STAD","Digestive system","cell replicative immortality"
"4176","PIK3R1","STAD","Digestive system","invasion and metastasis"
"4177","PIK3R1","STAD","Digestive system","suppression of growth"
"4178","PIK3R1","OVT","Female genital","cell replicative immortality"
"4179","PIK3R1","OVT","Female genital","invasion and metastasis"
"4180","PIK3R1","OVT","Female genital","suppression of growth"
"4181","PIK3R1","UCS","Female genital","cell replicative immortality"
"4182","PIK3R1","UCS","Female genital","invasion and metastasis"
"4183","PIK3R1","UCS","Female genital","suppression of growth"
"4184","PIK3R1","PRAD","Urinary and male genital","cell replicative immortality"
"4185","PIK3R1","PRAD","Urinary and male genital","invasion and metastasis"
"4186","PIK3R1","PRAD","Urinary and male genital","suppression of growth"
"4187","PIM1","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"4188","PIM1","DLBCLNOS","Soft tissue and bone","change of cellular energetics"
"4189","PIM1","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"4190","PIM1","DLBCLNOS","Soft tissue and bone","angiogenesis"
"4191","PIM1","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"4192","PIM1","PCM","Haematolymphoid","escaping programmed cell death"
"4193","PIM1","PCM","Haematolymphoid","change of cellular energetics"
"4194","PIM1","PCM","Haematolymphoid","invasion and metastasis"
"4195","PIM1","PCM","Haematolymphoid","angiogenesis"
"4196","PIM1","PCM","Haematolymphoid","proliferative signalling"
"4197","PIM1","LNM","Haematolymphoid","escaping programmed cell death"
"4198","PIM1","LNM","Haematolymphoid","change of cellular energetics"
"4199","PIM1","LNM","Haematolymphoid","invasion and metastasis"
"4200","PIM1","LNM","Haematolymphoid","angiogenesis"
"4201","PIM1","LNM","Haematolymphoid","proliferative signalling"
"4202","PIM1","MLYM","Haematolymphoid","escaping programmed cell death"
"4203","PIM1","MLYM","Haematolymphoid","change of cellular energetics"
"4204","PIM1","MLYM","Haematolymphoid","invasion and metastasis"
"4205","PIM1","MLYM","Haematolymphoid","angiogenesis"
"4206","PIM1","MLYM","Haematolymphoid","proliferative signalling"
